pub_date	title	venue	excerpt	citation	url_slug	paper_url
2017	Fine-pruning: Joint fine-tuning and compression of a convolutional network with Bayesian optimization.	BMVC2017	This paper is about the number 3. The number 4 is left for future work.	F.Tung, S.Muralidharan, & G.Mori. (2017). "Fine-pruning: Joint fine-tuning and compression of a convolutional network with Bayesian optimization." <i>BMVC 2017</i>.	paper-title-number-3	https://arxiv.org/pdf/1707.09102.pdf
2016	 Unsupervised learning of supervoxel embeddings for video segmentation.	BMVC2017	This paper is about the number 3. The number 4 is left for future work.	F.Tung, S.Muralidharan, & G.Mori. (2017). "Fine-pruning: Joint fine-tuning and compression of a convolutional network with Bayesian optimization." <i>BMVC 2017</i>.	paper-title-number-3	http://academicpages.github.io/files/paper3.pdf
